complaint_what_happened,ticket_classification
"i requested on xx/xx/xxxx for my account to be closed via secured messaging. i was told i had to call the bank customer service. i did that and was told the account would be closed. i log into the account a few days later and see transaction activity in the account and where chase has reversed some credits without my knowledge causing the account to go into a negative balance position. so i immediately called to see what happened to the account since there was no activity initiated by me that would cause this to happen. i made arrangements to remove all excess funds from the account so it will be xxxx for the closure. so i was told that chase allowed another bank xxxx  post credits to my account after i'd already reported them for fraudulently activity closing out my debit card and everything so when they allowed the xxxx  to reverse their two debits to my account chase then reversed their credit to my account which caused all of this confusion. so i called chase bank customer service on xx/xx/xxxx and informed them that i will fund the account in the amount of {$50.00} to bring the account to xxxx so my request to have the checking account can finally be closed. the transaction number # xxxx shows the transfer initiated onxx/xx/xxxx and completed successfully xx/xx/xxxx but for some strange reason chase is not reflecting this balance in my account on xx/xx/xxxx or today xx/xx/xxxxbut it allowed a random deposit be posted to my account for {$8.00} be posted to my account now bringing the balance to $ xxxx. now in meantime i'm calling customer service and not one representative can explain to me why this has happened and i was told on xx/xx/xxxx that only one person in chase bank - xxxx xxxx at xxxx ext. xxxx  can explain why my transfer is not showing up and why the account has been closed yet as requested. i found this incredible to believe and requested to speak to a supervisor and she took my internal complaint and reiterated that someone i've never had contact with before is the only person that can explain why my account is still open with selective transactions being posted to it.

so onxx/xx/xxxx i called xxxx xxxx 4 times starting with xxxx cst because on xx/xx/xxxx i was told she was on pacific time. i left about 3 voicemail messages and no response. so i called customer service at general inquiry xxxx yet again and explained the entire dramatic account of what i've endured to get this account closed and once again the customer service rep had no answers for me but he did acknowledge that it made no sense for the account to be open still and he also informed me that my transfer deposit of {$50.00} was rejected. now i'm not sure why that would be if the account was made to go negative after my request to close it but chase rejects a deposit to bring the account to xxxx.

this appears as a long drawn out attempt to keep me as a customer but i'm not interested in playing any games with chase and i want them to honor my request to close this account and accept the deposit that was completed per their records so we can end this business relationship once and for all.

i've also noted that none of these customer reps give their name, number or email address to follow up on the claims made during the recorded calls. i have each and every secured email message and i have a screen shot of the completed transfer and the balance on xx/xx/xxxx and xx/xx/xxxx.

excerpt from secured email messages : "" - if your account balance is negative, please make a deposit or transfer to bring your balance to xxxx as soon as you can. "" - i did this but chase has taken not processed transfer to my balance.

"" - you can continue to make deposits and transfers into your account at the atm, online, by phone, or at any of our branches. "" - apparently this isn't true because chase bank refuses to reflect the balance on my account after the {$50.00} transfer completed.",Checking or savings account + Checking account
"i have xxxx bank accounts with chase bank -- xxxx checking account and xxxx savings accounts. i recently got married ( in xxxx 2016 ) and called chase to see what i could do in order to change my name on my bank accounts to my new married name. the instruction i received from customer service was to go into a branch and present my name change documents. the problem is that i live in tennessee and there are no chase branches in the state. i asked for the alternative process and was told that i could receive a signature card and letter in the mail ; i would need to sign the signature card and provide the copies of my name change documents through the mail. this sounded reasonable, as it was the same procedure as visiting the branch, just through the mail. the next day, i received a phone call from a supervisor who told me that the letter would not be able to be sent to me until the research department approved it. it has been nearly a month and the research department still has n't addressed my request. every time i contact the bank via online message or by calling, i am told there is nothing they can do to help me. i was told that one of the hang ups was the fact that my son is joint with me on one of the savings accounts and he would have to provide an id in order for the research department to consider allowing me to submit my name change documents. he is a minor and does not have an id. the bank did not require him to have an id when we opened the account -- that is why i am on the account with him. i do not understand why his id ( or the approval of a minor ) would have anything to do with me being able to change my name because i got married. coincidentally, i called customer service today -- because i got the message from online banking that they could n't help me and referred me there -- and closed the account on which i am joint with my son. i closed the account over the phone, without any approval or correspondence from him! that makes absolutely no sense! 

my issue is that my bank accounts have my maiden name. my legal identification has my married name. i tried to use my bank card at a merchant and was asked to present identification to validate my authority to use the card. the identification i presented did not have the same name as the bank card. i was accused of potential fraud for using another person 's card -- but, it was my own! all i want to do is change my name on my bank accounts and the bank will not allow me to submit any documentation to do so. the closest branch to me is xxxx miles, one way. that seems egregious to request that i drive nearly xxxx miles round trip -- just to change my name on my accounts! 

please help me with this.",Bank account or service + Checking account
"i am submitting this complaint because my check account bank, xxxx xxxx xxxx is refusing to credit my account in the amount of {$2200.00} which was an unauthorized charge on my checking account because my debit/credit card was stolen when i was traveling overseas. when i called them immediately to notify chase that the amounts charged were unauthorized and my card was stolen, i also notified them that it is possible my pin # was stolen as well. i tried to explain the circumstances of why i believe this to be true. my debit card was stolen and the unauthorized charge was made on xx/xx/2018. i reported the theft immediately after i realized my card was stolen. 

chase has sent me a letter dated xx/xx/2018 stating they did an "" investigation '' but gave no details on what is the evidence they found and why they would not believe me, their long-time customer. all they stated in the letter is that since the charge was made with my pin #, they could not reverse the charge or credit my account for the fraudulent charge. when i called the bank to speak about this matter on xx/xx/xxxx ( or around that date ), all i was told by the bank representative was that the bank could not "" recover '' the fraudulent charge because my pin # was used. this is completely confusing. 

i asked the customer service person why they did not block the fraudulent charges when i made the call almost immediately, after i realized my card was stolen. all the customer service representative stated was that since my debit card was a "" chip '' card, it was unlikely that my pin # was fraudulently obtained. basically, the bank is stating that they do not believe me, their customer? and they have no evidence to provide me for their reasons? 

here are the circumstances that lead to my debit card and my pin # being stolen. 

-- on xx/xx/2018 close to xxxx xxxx, i was leaving the xxxx xxxx in xxxx, xxxx xxxx where i was on a vacation trip overseas. as i was going towards another common tourist site nearby -- the xxxx xxxx xxxx -- someone in a black uniform-like clothes approached me and told me that i would have to go to the nearby xxxx machine to get tickets printed out to enter the xxxx xxxx xxxx. 

-- since this person appeared like he was dressed like the other uniformed personnel who were working at the xxxx xxxx, i thought he was part of the outside personnel guiding visitors to the xxxx   xxxx. 

-- this person informed me that the machine would print out a ticket and that if i was paying by a mastercard or visa, all i had to do was enter my pin #. this person stated that it could not charge it regularly like a credit card. 

-- because i was in an unfamiliar place and he seemed to be dressed like the other guards or personnel who worked at the museum site, i just followed his instructions. the machine that he directed me to get the tickets looked like an atm machine, however, i was not familiar with the logo of xxxx ( which seems to be a foreign bank ) and i was not familiar with how a ticket machine would look like for the tourist site at xxxx xxxx. this made me vulnerable to being mislead and misdirected to this machine. i followed this man to this machine who told me it was a machine that will print out a ticket for entry to the xxxx xxxx xxxx tour site. 

-- i noticed immediately that the machine they directed me to did not "" respond '' or did not print a ticket or anything else when i inserted my card and punched in my pin #. i was immediately alarmed and turned to the man who had directed me to this machine, but he vanished. it was then that i realized that as i was trying to figure out why the machine was not printing out a ticket, he was right behind me and had taken the card out of the machine without me noticing in such a quick flash. 

-- i was immediately alarmed that either the machine was a "" fake '' machine that somehow takes pin # s from those entering it into the machine, or that he was able to see over my shoulder and see what pin # i entered into the machine, or perhaps the fake atm machine had a mirror or a camera there that could have picked up my pin #. 

-- i was incredibly shocked and almost numb about what happened. 

-- however, i also immediately went to get help for what happened. i went to the gas station that was down the street from this xxxx  machine and immediately asked those at the gas station that i needed to use their phone and report my card stolen. 

-- the owner of the gas station, named xxxx, immediately took me to his office and allowed me to use his phone and informed me that he was not surprised this occurred to me. he then went on to inform me that there was a group of "" con-artists '' and scammers who repeatedly victimized tourists like myself who were coming from the xxxx xxxx and were walking towards the xxxx xxxx   xxxx. he went on to explain that so many other tourists from many different countries such as xxxx, xxxx, and xxxx were similarly victimized. 

-- the gas station owner, xxxx, has also tried to have what appears to be a fake atm xxxx machine removed near his gas station so that these crimes do not keep happening. however, he has not been successful. also, he has stated that these scammers have physically threatened him and all of his employees to prevent them from getting the police involved. they also warned the station owner and employees to not interfere in their criminal activities ; the criminals wanted to make sure that the gas station owner and his employees do not warn potential victims of this scam. 

-- when i was in the gas station owner 's office to try to call chase and immediately block the use of the card, i was told that these fraudulent charges were still "" pending. '' i am sure that i called only about 10 minutes or less after these fraudulent charges were made. as i informed chase of the fraudulent nature of these charges, i assumed that these charges from then on would be "" blocked '' or not authorized for payment to the merchant. this is my understanding of what happens when you call in to report your card was stolen or that there were fraudulent charges on your account. i also explicitly stated that my pin # may have been stolen as well and that i did not write my pin # anywhere on the card. i never have and never do. 

-- after i called chase to report these charges as fraudulent, i did go to the local police station to try to file a police report. however, the police did not take my report at this time because they felt that nothing had been technically "" stolen '' in the sense that i called the bank ( chase ) and reported my card stolen and reported the possible identity theft issue of the stolen pin #. i also told the police that i reported my card stolen and that it seems the bank had issued the temporary credit. 

-- the local police station told me that since it seemed like the bank may have "" blocked '' or stopped the fraudulent charges from going through because i called them, and that i was issued the temporary credit, they declined to write any report. they considered that the matter was taken care of. they seemed to have not considered the importance of trying to stop this identity theft crime ring or to prevent other tourists from being victimized, other merchants or banks or financial institutions from being victimized. 

-- since this was the case, i am unsure what to do now since i already flew back home to the us without having a police report to send to chase. 

-- additional complaints i have about how chase has handled this matter are the following : a ) when i called to inform chase about the stolen credit/debit card and my stolen pin and they informed me that these fraudulent charges were still "" pending '' and had not posted to my account yet, why did chase not block or stop the payment to the merchant. my understanding is that if the customer ( me ) has called and reported these charges as unauthorized, why would chase approve or go through with the payment to the merchants of these charges? i can guarantee you that the merchants where my debit/credit card was fraudulently used, did not check or ask for picture id to use for these large purchases ( thousands of dollars ). i believed merchants were supposed to take precautions and measures to check for id associated with large credit/debit purchases. merchants certainly do that in the us. my understanding was the bank had a duty and obligation not to approve of payments to go through to merchants in the "" pending '' stage if the customer ( me ) reported these charges as fraudulent. 

b ) the 2nd important complaint i have is : why would chase allow such large purchases to be authorized on a single day and only within minutes. when you see the charges on my account and chase provides you with the records, you will see that these very large, unusual charges, were made within minutes -- i would likely say within 10 minutes. 
normally, in all my previous uses of this debit/credit card, whenever there was a charge larger than {$500.00} per day, it was declined and chase sent me emails and text alerts to make sure that the charges were accurate. i understand that my pin may have been used in these transactions -- however, isn't using a pin to withdraw thousands of dollars in one day within less than 10-15 minutes similar to a bank cash withdrawal? 
since the daily limit is {$500.00} per day for cash withdrawals, why would there not be an automatic decline because of the large amount ( {$3000.00} + ) that was charged within 10 minutes? again, in all previous interactions, anything larger than a {$500.00} per day charge would have to require me calling into the bank and specifically telling them ahead of time that it is me using the card and that i am about to make a large withdrawal or large purchase. 
in fact, when i arrived in xxxx, i specifically called called chase to let them that it was me and that i had flown now to xxxx from xxxx and that chase should not be surprised that there are charges on this card in these countries. 
so again, why were these large charges of over {$3000.00} in one day within 10-15 minutes not automatically declined or flagged until the customer ( me ) called in specifically to tell the bank that i am authorizing these charges? 

so there are many, many complaints against chase bank and how they have handled this matter. after calling the cfpb a few days ago and being directed to file this formal complaint, i was also told by the intake person who took information about my case to go and file a complaint with the xxxx xxxx consulate or embassy since i am not now able to go back to xxxx xxxxxxxx right now. it was also suggested that i file a case with the federal trade commission to report this case of identity theft. i will be pursuing both avenues. 

this situation is particularly galling and disturbing because i am wondering what am i supposed to do now? to fly back to xxxx xxxx just to file the police report now would cost over {$1200.00} + just for the airplane ticket itself. not to mention other costs. 

it is beyond frustrating and ridiculous that chase did not simply block and stop the payment from going through to the merchants when they were specifically told that these charges were fraudulent. yes, the pin number was used and the merchants allowed their merchandise to be taken out of the store and essentially chase would not be reimbursing these merchants from my account. however, i believe these merchants who were in the nearby area must know that there is this fraud and scam ring that are preying on tourists and stealing their credit/debit cards in this area of xxxx. 

these merchants must know that seeing unfamiliar foreign names on foreign debit/credit cards being used, repeatedly by the same people, indicates there is something suspicious going on. it is up to the merchants to ask for picture id from these scammers and to protect themselves from having their merchandise stolen from their store by these crooks. money from my account should not be used to reimburse them.",Checking or savings account + Checking account
"chase suddenly charged us a {$20.00} service fee for our checking account. we have had this checking account for 10 years. when called and questioned, a chase representative finally advised that we will be charged a service charge since we paid off our mortgage.",Bank account or service + Checking account
"i recently received a bulletin from my financial advisor stating that cfpb is encouraging major lenders via credit cards to freely provide credit scores on their credit card statements or on-line credit card access. chase bank has mad a xxxx attempt at complying with the request. when i inquired about my credit score being available on my statement or on-line, i was informed by xxxx xxxx in the customer care department that they have complied with the request by offering the service on only xxxx of their many credit card types. the particular card is a "" slate '' card. she offered me an opportunity to apply for a "" slate '' card account which i turned down..",Bank account or service + Other bank product/service
"to whom it may concern, i am writing in regards of the treatment my husband and i have received by a chase lending advisor. here is my loan number : xxxx if it`s helpful to find me in the system. the lending advisor`s name is xxxx xxxx xxxx xxxx xxxx. we were doing the loan refinance process with him and from the very beginning things were messy and unclear, with little detail on his side and overall very vague description of everything and left us feel unclear about the steps in the process. 
he had confirmed closing costs of {$5000.00} on an email and refused to correct this in the initial disclosure as he described that the final and corrected amount will be reflected in the final disclosure documents. it felt like a lengthy process, which we had started on xx/xx/xxxx, when we first signed the disclosure, and we were informed of the final approval on xx/xx/xxxx. as expected the closing costs were different from what we had prepared ourselves for, which involved him having to make corrections to match the {$5000.00}, which we had agreed upon. i had his confirmation in writing, otherwise i sincerely doubt he would have honored it. and here i would make a note, that he mostly liked talking on the phone and when i insisted on having something important as numbers or confirmation in writing, he would oppose and prefer to just call. well, most of the time he either doesn`t remember things, or conveniently says so, but for the sole purpose of having a peaceful mind that i have a backup, i preferred to have things in writing. this is a good example of a situation where had i not have it in writing, he wouldn`t have honored it, and i am assuming it because he asked to see my emails before he confirmed he would honor this amount. 
i am writing the above just to give a little background of the situation. the thing i am mostly hurt and take issue with is his attitude. the evening, in which we were discussing the final disclosure- xx/xx/xxxx, we addressed the closing costs and that he had not corrected them as we had agreed upon in an email from xx/xx/xxxx. he agreed it was missed on his part ( only after seeing the proof of his confirmation in an email correspondence ) and he will revise the documents. however, the conversation felt as if we had been judged. the difference of the mistake on the closing cost numbers was roughly around {$250.00} and he kept referring to our actions of trying to have this adjusted to what was promised back in xxxx as nickeling and diming. his words were : guys, you are nickeling and diming here. what i take issue with is that his words sounded very judgmental, categorizing us as people, who are paying attention to such a small amount of money. i feel like this is none of his business and moreover if it`s such an insignificant amount, why not come out of chase, but has to come out of us especially being his mistake. i do believe that no matter what value one may attribute to something it could hold a different value to another person, and it is not his place to attribute value to my money according to his perspective. another point i take issue with is that he emphasized on the fact that we had lost his assistant xxxx`s time the day before, and he repeated it on 2 separate occasions. here is what happened with xxxx, i would really like to explain as this sheds light on another issue. xxxx called me on xx/xx/xxxx at xxxx pm. the phone call lasted xxxx minutes and i have a screenshot of that. this leads me to believe that xxxx had complained that we lost her time and that also leaves me with a bad impression as it gives me the feeling we have been discussed between these individuals in an unprofessional and gossiping manner. a little insight of the conversation with xxxx on xxxx xxxx she called me to inform me of the fact that we have been officially approved and to schedule a closing date. my initial impression was this was all that the call was going to be about as we had not have any documentation sent to us at that point. we agreed upon a date for closing and xxxx started throwing numbers at me. different amounts of different charges, such as title cost, insurance, fees etc. i was really not prepared as i had no document in front of me to be able to follow her and i informed her of that. she said the document will be sent to us to view sometime the next day. i never wished to discuss anything regarding numbers with her that day especially when i did not have a document to look at and all i could do was just listen to her mentioning long numbers. the reason i am describing this in detail is to explain that in contrast to what apparently xxxx believed was a loss of her time and i was to blame, it was never my intention to discuss detailed information without being able to prepare myself. if she xxxx started addressing the numbers i would`ve never asked her to go into such detail. i felt really offended when i found out by xxxx that xxxx was complaining i had lost her time. 
at the time i was in between employments and apparently had additional verification of employment on a day that i was technically unemployed. the phone call from xxxx xxxx xxxx xxxx came on xx/xx/xxxx around xxxx and he was furious and rude. he kept throwing accusations at me, saying things like : you lost both mine and xxxx time when you knew you were unemployed, the {$250.00} you paid so much attention to is the least of your problems right now. his voice was so loud and it felt like he was yelling at me. at one point i had to tell him that he is very rude and i am not allowing him to talk to me in that manner. he then apologized and said sarcastically : i am a xxxx, it`s the way my voice is, it`s not that i am yelling, it`s just how it is, ask my parents. the whole sarcasm of that particular phone call was so unnecessary. it really felt as if he was delighted by being given a chance to somewhat get at me for the lost time or whatever grudges he may have been holding against me. he was really unprofessional and talked to me in a very rude manner. i am hoping you are recording these conversations so you could hear it. he spoke/yelled to me in a condescending manner, making me feel like the lowest of the low for the fact that i had been laid off in such an unprecedented time, where people are struggling all over the world, mocked me for the {$250.00} being the least of my worries right now as if some evil force was over me. this is the highlight of my bitter experience with this person. 
after i sent xxxx my work offer on xx/xx/xxxx, he had told me it will take about xxxx additional days. i am writing this update xxxx xx/xx/xxxx and i still have not closed the loan. like i said previously, one never knows what he possibly means when he expresses himself. if i look at it from the perspective of the 4 days being business days it is still way past this amount of time. my initial impression is cemented by this, once again, vague description of what to expect next in the process. it is never clear. today, only after my request for an update xxxx informed me that the one thing they are waiting for is the confirmation from my employer. my colleagues checked all emails, spam folders, faxes etc, there was nothing received. i am simply thinking, had i been waiting without asking for an update, when would she have thought of either follow up with me or attempt to resend the request. another thing that bothered me is that i emailed her asking for this update at xxxx am and her reply came at xxxx pm. after also calling her phone number, leaving a voicemail with no return call, i just imagined she had taken a day off. clearly this was not the case, she simply gets back to me with delay. in her email she says : "" we will need to extend rate as it expires today. '' to which i replied asking her to elaborate as i have absolutely no clue what this would mean and in what ways financially or possibly timewise it would affect me. turns out from her next email there may be a charge for this extension. mind you this was the first time i ever heard of this even being a possibility, and when do i learn i will possibly be charged extra- the day of expiration. how convenient. had i not reached out to ask for an update, i wonder if they would have even told me the rate is about to expire. to my further questions, asking for clarification and what to possibly expect with this extension of the rate, xxxx replied in a typical vague fashion, telling me he will call me the next day to go over options. after having the experience of learning things last minute my mind started racing and i had scenarios in my head that what if by options he meant conditions will change altogether, meaning rate and closing costs etc. he later clarified with assistance of management they will try to extend without further cost for us. however, i am especially irritated by the whole method of communication being so unclear. i called xxxx xxxx additional times that day. one of the times she hung up on me on the second signal. the last time she hung up as soon as the first signal. it was clear her phone was not off, but she was hanging up. 
xxxx xxxx emailed xxxx xxxx xxxx ask for an update. also had called her cell phone. a little background on this- she used her cell when she was calling me previously, so i had saved it to my phone in case i ever needed to contact her. i used the same number i saved to reach her and she replied to me ( as seen on file capture 1 ) with i also received your voicemail on my cell phone. please call me on my office line if you have any questions.. this was very rude, because if she ever used her cell to reach out, s he shouldn`t be surprised people are using that phone number to reach her. and she emailed me, never called back. the way she specifies how she had received my voicemail, while not returning a call is rude. i am really at the final stage of dealing with these people and not want to tell them this to their face, but it is a torture to work with them. she never gives an estimate. i had emailed asking what`s the estimated time for the process to come to a final stage, and she said they were currently in about 72h underwriting. this was on xx/xx/xxxx. i guess this is partially my mistake for not specifying that my question meant how much longer total until we can go to closing and the way she responded was more like answering the timeframe for a stage of the underwriting. 
on xx/xx/xxxx i received an email from xxxx, confirming that we can proceed with closing and she informed me that we will not receive a closing date and time and view the closing disclosure until we can schedule an exact timeframe. i informed her of when my preference would be and she replied that they are currently waiting for my husband`s employment confirmation from hr. the amount of closing cost that xxxx gave me in the email was {$5300.00}, which is with {$300.00} more than what xxxx and i had previously discussed. xxxx called me after close to xxxx from my initial phone calls, voice messages and a text at xxxx, he called at xxxx am. he informed me that closing cost is {$5000.00} and money owed at closing - {$5300.00} because it consists of the {$5000.00} plus interest. i asked what is the {$85.00} charge for and he said it is for extension of the rate. he angrily and in his usual way of communication with a raised voice told me that he had to extend the rate twice and that instead of me being appreciative i am finding issues with this. and he said in his ironic fashion i didn`t think this would be such a big issue, referring to the {$85.00}, making it sound like it is insignificant. well, it could be insignificant, but my issue is not with the money, but with the attitude. i told him that it is not a big issue, but it is still an issue. and that i simply had a question because i did not know where the {$85.00} was coming from. i expected my questions to be answered without ironic remarks. i still do not agree with the charge of {$85.00} because when we spoke in early xxxx, to my question if the process will take as long as it had so far, he replied that it would take around 4 days in addition. well, it took close to 40 days since then. if he is saying that my rate extension charge of {$85.00} is something i should owe, how about him giving false estimates. if we really fit into the timeframe that he initially gave, maybe this charge of {$85.00} wouldn`t have been owed. i have been always polite with him and have talked to him with respect, and sadly did not get the same in return. he blamed me for not being happy and no matter the time they spent on my loan application, i was always ungrateful and in his own words this loan is not going to get us a trip to hawaii. i don`t know what he was trying to accomplish with being sarcastic, but the way i take his comment is that my business is not giving him enough $ and implying i am a difficult customer, who on top of all his efforts is still unhappy. i informed him that i am not happy about his attitude and the way he raises his voice at me and i will try to have as minimum communication as possible with him until closing. the one thing i give him credit for is the fact that he was available almost all the time. however, i respectfully asked before calling if it was a good time and made sure to honor his best available time as well. for him to imply that i was bothering him with questions and that they as a team spend so much time for my application, and not getting a trip to hawaii in return was a tacky thing to say in my opinion. overall, i just wish i had gone with another lending advisor and i even worked with xxxx xxxx, and i am sad i did not proceed with him, but chose xxxx as being local. well, i at least learned where not to go for the future. 
we have closed our loan finally. i had asked xxxx manager- xxxx xxxx to step in and she approved myself to be refunded the amount of xxxx. she agreed to it and said she had approved the refund and that xxxx was the one to make it. we spoke on xx/xx/xxxx. at that time she said it will take approximately 5-10 business days. she informed me in her last email that the refund was approved. i find this an odd thing to say- i am not asking if it was approved or nor, i am asking why is it still not reflecting in my credit card. being approved, but apparently taking so long is not helpful. we all know that if i am late for a payment of my credit card i will automatically be charged a late fee. i find it really offensive for the bank to take an opposite approach to this when it comes to refunds. i am writing today- xx/xx/xxxx and have not received any refund yet. i followed up with her on xx/xx/xxxx and asked for an update, to which she said it has been approved. this is the only thing she said and she did not reply to my email asking why it`s past the 10 business days and how much longer i should wait. the other thing i`d like to request is the fee for rate lock extension of {$200.00} to be refunded to me as well. xxxx never informed me of exactly how much this fee would cost. he mentioned a fee of {$85.00}, which i never saw on the documents, and i am guessing this {$85.00} he was referring to is actually the {$200.00}, which is what my fee ended up costing in the end. after obtaining the disclosure i then asked where exactly in the documents the specific fee of {$85.00} was displayed and he couldn`t point out. then i asked him to walk me through and opened the lock in agreement and was looking for the amount of {$85.00} and could not find it. then he said that it is not {$85.00}, but {$600.00} and he took care of some of it. i then asked where in the document the amount of {$600.00} is displayed and he kept going back to state that my closing costs were a little below {$5000.00} as agreed and he kept avoiding my direct question. i kept going back to it because it bothered me the way he emphasized on the fact that i had signed the documents and was referring to it like it`s something i signed and do not remember. but it was clear that when i had a question specifically related to the dollar amount of the fee he could not answer. because there is none and this is the fact. to my question why i was not informed of the need for the fee to be extended he arrogantly said that it is something i had signed and should know myself and it`s not his duty to remind me. like i previously said- i do not see the need to be charged anything for it to be locked since 1.xxxx never informed me of the exact amount, 2. the documents pertaining to the rate lock extension fees contain {$0.00} in the fee section and 3. it was the bank`s timing causing everything to take so long and way past the initial expectation. 

i am attaching screenshots of conversations with the above mentioned bank employees and anything relevant to my claims so you could get an idea of my ordeals. mostly showing that it was really hard to get any written information from the lending advisor and i had to follow up numerous times. thank you for taking the time to review my complaint. 

sincerely, xxxx xxxx",Mortgage + Conventional home mortgage
i pulled up my xxxx xxxx and noticed i have a lot of credit inquires that i did not authorize that were done on the same day. there were a total of 10 inquires done on xx/xx/2018. this is preposterous i have knowledge of these inquires. i was looking for a car at the time but did not authorize any dealer to run any hard inquires on my credit. banks are giving me a very hard time behind this and its seems like i have definitely been taken advantage of.,"Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"i got an hard inquiry from chase bank without my permission. i asked chase bank to increase the credit limit of my credit card and applied for another credit card at the same day on xx/xx/2019. they approved the limit increase but declined the credit card application. i applied for reconsideration on xx/xx/2019, and they pulled the credit report again, without letting me know at all. i called them later to remove the hard inquiry, but they refused to do so.","Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"xxxx posted fraudulent claims on xxxx about a carb-cutting supplement. they lied, claiming their product received the highest praise from the tv show xxxx xxxx and included false articles and photos. i was presented with a pop-up web site advertising a free sample, just pay {$5.00} shipping. i figured it was worth the risk. well, it was not. i received a fake order, package with advertisements only and then a new {$84.00} charge. i disputed the charges and reported my card lost/stolen. chase removed the {$5.00} charge but refuses to remove the {$84.00} charge. chase claims i signed up for a subscription. xxxx changed their web site and offer after the sale. i have not received any product or services from xxxx and i emailed them requesting a refund about a month ago. no response! chase fraud services told me ... and i quote "" using my credit card is as good as cash '' and "" once i provide my card number to a merchant i am giving them permission to charge whatever they want '' this is absurd. top it off, the first time i called xxxx about the dispute they knew the details immediately without research. the representative was reading the "" terms and conditions '' of my order with xxxx. i asked them where they were reading this from and was told "" from their web site '' i went to the web site and it required signing in before you could read the terms and conditions. it was a completely different site from what i had seen when i ordered the free sample. how could chase have known all the details within seconds?? because they know the scam and protecting the scammers. 
the only reason i fell for this scam, after reading every minute detail and being skeptical ... was because i trusted that if it was a scam that i could simply dispute the charge. now i see that chase is  protecting scammers and i can no longer expect the support or protection from credit card companies.",Credit card or prepaid card + General-purpose credit card or charge card
"i am a victim of identity theft and identity fraud. after reviewing my credit report i noticed the inquries that i did not authorize. 

chase bank usa, n.a inquiry date : 1. xx/xx/2018 2. xx/xx/2018","Credit reporting, credit repair services, or other personal consumer reports + Credit reporting"
"i 'm unable to close bank accounts at chase bank that have been used by my ex husband to transfer funds out of these accounts for about a decade. in addition, the signature card had been altered and a stamp with bank one xxxx xxxx cash control was put on the card long after i opened it. my social security xxxx checks for me, my then minor child were put into bank accounts that my ex husband controlled with addresses i was unable to access. these accounts do not have local addresses on the statements of which i still have most of the originals. i asked the local branch in xxxx xxxx to close the account numerous times over several but they did not. or as most recently, claim they can not access the account even though i 've been told by their mortgage fraud dept it is still open and has been used. these bank accounts were accessed by teletransferred and include wire fraud that was used to pay a mortgage loan he took out using my mother 's and my identity. this theft began in xxxx and an account out of xxxx xxxx, la persists. i made numerous complaints earlier than xxxx but this is the first time the bank acknowledges i made a complaint. my ex has had all the power and has used attorneys to commit bank, mortgage, wire and everything has been impossible to resolve because i could not make or receive phone calls and my mail continues to be re routed to where ever he or his attorneys choose. these bsnk accounts caused horrible consequences for my mother and i and the problem persisted until xxxx in receiving the correct amounts from social security. these accounts were used when he made the actual call to make a payment on an additional mortgage loan he took out in my name or he has even had his employees impersonate my mother who never authorized payments as jp morgan chase bank claims. these bank accounts were used for fraud making it look like i received money in my name only to have it electronically withdrswn. these accounts were used to make unauthorized withdraws for various telephone companies that also drained bank accounts at chase, xxxx, xxxx and xxxx xxxx banks. i 've submitted claims of the mortgage fraud connected with these bank accounts and have requested information from the bank but everything i receive in writing is not factual. for example, i know my ex settled a mortgage loan and no foreclosure took place. the bank is lying and has lied to you as well because every employee they have named in correspondence has not called nor has returned my cslls. i have records they have sent showing the stolen funds continue to be in an account for trust and this trust is currently open and active xxxx. i received information showing there was a chapter xxxx bankruptcy in i. believe the xxxx he used to take out an original loan using forged deeds. my credit reports and the securitization audit reveal the truth but the bank continues to change their records as i supply information and they are obviously lying because the information claiming xxxx different foreclosure dates are false. how can i get the bank to give me the details of the chapter xxxx bankruptcy, the foreclosure removal and make a claim to get this stolen money returned and have them to stop giving extentions of credit to my ex husbsnd. why are they lying?",Bank account or service + Checking account
