complaint_what_happened,ticket_classification,processed_text
The mortgage company did not include a tax on my HUD statement at closing and now they want me to make the deficit up in my escrow account and increasing my monthly payment going forward. I never received any clarification on how or why this happened. Even after calling multiple times and speaking to multiple people in their company. When I call them they always deflect what happened and blames someone else. This deficit was brought to my attention three months after I closed on my house. I have spent countless hours on the phone with them. To date I still do not have a clear understanding on how or why this has happened.,Mortgage + Conventional fixed mortgage,mortgag compani tax hud statement make deficit escrow account month payment happen multipl time multipl peopl compani blame someon deficit month hour phone date happen
"On XX/XX/XXXX I called my bank, Chase to report my card lost and stolen. 
I spoke to a gentleman and advised him that I could not find my debit card since XX/XX/XXXX around noon after I pumped gas at XXXX XXXX. 

I advised him that I went to XXXX XXXX and tried to use my debit card, but after 3 tries, I had to go inside.The cashier had to slide my card inside because it was not working outside. I advised the Chase rep that I must have dropped my debit card there because when I looked at the charges they were from the stores around the area of the gas station. 

The Chase rep went over all the charges with me and he sent in disputes on items i did not recognize and granted temporary credit. 

I called Chase on XX/XX/XXXX and asked why the charges were reversed back to me. The Chase rep said that it was inconsistent as not all items were disputed. I told her that I was not familiar with all of them so I did not want to dispute something that could be mine because I know that sometimes charges does not always reflect the same day. 

I requested for the claim to be reopened, but the Chase rep said she couldn't without proof. I asked her what proof did she want. Chase rep said "" Nothing you can give to prove this '' ( somewhere along those lines ). I told her "" I know '' how would I prove this. Do you want me to get a police report? "". I requested to speak to a manager, after being placed on hold she came back and said someone will have to call me back within 1-2 days. 

This is not fair. I did not do those charges. I have never filed a dispute with Chase except one with XXXX when I told them that my card was charged after it declined the first time ( my husband then used his card ). 

I have left XXXX after they opened a Savings account in my name ( Lawsuit they were in ) I have recommended Chase to all my friends and family and my mom 's business thinking this was a better bank, but I can see that Chase is not about helping their clients at all.",Checking or savings account + Checking account,bank report card gentleman advis card sinc pump gas tri use debit card tri cashier slide card insid work outsid rep debit look charg store area gas station chase rep sent disput item grant temporari credit ask charg chase rep item disput disput alway day request claim reopen chase rep proof proof want rep prove line report manag place hold someon call day fair charg disput chase  card charg declin time husband card save account name lawsuit friend mom busi bank client
"Ongoing problem since XX/XX/2018, financial institution still says charges are mine after I have filed a police report and followed all of their requirement protocols and steps. They keep changing the contact person on my case, the group I interact with, and now they won't respond to me at all. I even wrote a letter to the bank president, XXXX XXXX @ Chase Bank, and no one has responded. 
Date my card was used fraudulently on XX/XX/XXXX, twice, at two different XXXX XXXX locations, totaling {$590.00}. 
I rarely shop at XXXX, and they failed to look into my account history to see that. I have had this credit card for years, and this customer experience has been absolutely awful. Their last suggestion was to call the stores in question and request the camera surveillance recording - which was impossible since over a year had passed before Chase made that suggestion and stores don't typically keep recording tapes beyond a week or so.",Credit card or prepaid card + General-purpose credit card or charge card,ongo problem sinc financi institut mine file report requir step chang contact person case group interact letter bank presid bank respond date card use fraudul  locat shop  look account see credit card year custom experi absolut aw call store question request camera surveil record imposs year pass chase store record tape week
"I deposited my check of {$7800.00} into an atm located at XXXX XXXX XXXX. The machine was buffering and then a red bar came in the atm screen stating that the machine is experiencing issues. It keeps my check but asked me to remove my atm card and printed a receipt. I have contacted everyone from bank manager, to claims, to branch, and everyone is giving me the run around. Please help.",Checking or savings account + Checking account,deposit check  machin buffer bar state machin experienc issu check ask remov print receipt contact bank manag claim branch run help
"We had a CD IRA purchased on XX/XX/XXXX and it was a five year term. 
I called on XX/XX/XXXX to check about fees or penalty to transfer this to another bank. 
The gentleman said no fees/penalty because of my age ( XXXX ). So I decided to transfer or rollover this IRA CD to the other bank. I signed the papers from the other bank on XX/XX/XXXX to get the process started. The bank notified me on XX/XX/XXXX that the transfer was completed. I went out on XX/XX/XXXX and signed papers and etc. When I got home I was filing the papers and etc and noticed the amount of the original CD was {$760.00} less. 
I called Chase to find out why and they said there was a 2 % penalty of the face amount of the CD. I told them I was advised by another representative no charges! Plus nowhere on my paper work does it say what the penalty fees are for an early withdraw. I had one year left to finish the 5 year term. I do think this fee is very excessive and it was only paying 0.55 %. We called Chase to see if we could cancel the transaction and send the check back to them and they said no. They are ending the CD Retirement program. 
I would like my money back.",Checking or savings account + CD (Certificate of Deposit),cd ira purchas year term check fee penalti transfer bank gentleman age decid transfer rollov cd bank paper bank start bank transfer complet sign paper etc paper amount cd find % face amount cd paper work fee earli withdraw year year term pay % chase see check cd program money
"I was pulled off of the XXXX XXXX XXXX, by a XXXX XXXX when my complaint became personal to the board. I have spoken to the CF.P.B. ( # XXXX ) on the XXXX day of XX/XX/XXXX ( start of this case ). I have been abused, financial, by the XXXX XXXX because of my complaints with the F.t.c. I recently found out about a XXXX XXXX called the XXXX XXXX using my name spitefully because of the XXXX XXXX Crash. Let me start by explaining my previous issue with my first Credit Card of XXXX   XXXX, during the XXXX XXXX conspiracy act. My financial problems started with the abuse I sustained while doing business with The XXXX XXXX Credit Card. They were the first to take advantage of me with a false charge of a tobacco sale from XXXX XXXX and a Ferry Ride from XXXX to XXXX. I was told the XXXX XXXX President was responsible for these false charges, while I was helping the F.b.i. stop a child XXXX XXXX traffic problem in the system. I was XXXX XXXX, during the time of my working years, and was told to file XXXX 's XXXX, while arguing my case with the Office of Personal Management. After explaining my case to the Office of Inspector General, the  previous President Obama, left office with a promise of a back-drawn paycheck due in XX/XX/XXXX. The new President Trump, recently claimed he was going to pay me my back pay, and also pay off my complete Chase Credit Card Bill. President Trump is aware of the abuse I sustained determining the correct qualities of my work load, while the banking system disrupted my self worth.",Credit card or prepaid card + General-purpose credit card or charge card,pull  complaint becam person board cf.p.b  day case abus financi complaint f.t.c use name crash credit card conspiraci act financi problem start abus sustain busi credit card advantag sale presid child traffic problem system  time work year file   case person manag case inspector general presid obama back-drawn paycheck presid trump claim pay complet chase credit card bill awar abus determin correct work load bank system self worth
"It looks like Chase is doing something similar to what XXXX XXXX was caught doing in opening fake accounts. I was contacted by XXXX XXXX at Chase bank in XXXX XXXX XXXX, CA. She told me that if I opened a new checking account and transferred money in, I would qualify for a bonus of {$200.00}. She said I needed to come into the branch to open the account, which I did about XX/XX/XXXX. She told me that in order to open the account, I would need an employer direct deposit. I told her I 'm XXXX XXXX and do n't have an employer direct deposit. She said that as long as money was transferred into the account within 30 days of opening from a non-Chase account, it would qualify for the bonus. On XX/XX/XXXX, I transferred the required amount from a non-Chase account. 

While I was opening my account, she told me that my wife would also qualify for bonus money if she opened an account as well. I told her my wife is a XXXX XXXX with no income and she said she would qualify under the same rules. My wife went into Chase on XX/XX/XXXX, and opened an account. The person that opened the account was not XXXX and said they did n't know if my wife would qualify or not. The banker suggested I contact XXXX. 

I called her the following week and told her the issue about my wife 's account. She said she would look into it and get back to me. I never heard from her. I called and emailed her several times with no response. Finally, on XX/XX/XXXX, after getting no response from her, when into the branch where she works. I talked to her and told her of the issues with my wife 's account and that I still had not gotten the promised bonus money. She said she would talk to her manager and get back to me the following week. I never heard from her. 

About XX/XX/XXXX, I called the branch and asked to speak with XXXX XXXX, the branch manager. I told her what had transpired. She said she would talk to XXXX and get back to me the next day. I never heard from her. 

On XX/XX/XXXX, I called and talked to XXXX. She said she talked to XXXX and she denied ever telling me what I was told. XXXX told XXXX that I was told it would have to be an employer direct deposit to qualify for the bonus money. 

Of course, that makes no sense. Why would I ( XXXX XXXX ) and my wife ( XXXX XXXX with no income ) open an account with the promise of bonus money if the only way to get that money was a direct deposit, which neither of us have. It seems that XXXX got us to open accounts to increase her bonus. I thought it was weird she would cold-call me for just that purpose.",Checking or savings account + Checking account,look chase someth fake account contact chase bank check account transfer money bonus branch account  order account deposit deposit money transfer account day account bonus  amount account account wife bonus money account wife incom rule wife account person account wife banker contact  week wife account sever time branch work wife account bonus money manag get week branch ask speak branch manag transpir day talk  talk  deni deposit qualifi bonus money cours wife incom account bonus money way money deposit account bonus weird purpos
I made a deposit into my Chase account on Friday XX/XX/XXXX. It was a mobile deposit from a payroll check XXXX of {$1300.00} I should have XXXX available on the next business day which is Monday. And they said they were placing my check on hold for 7 business days. I would like to note this is not a re deposit item and it is not a new account. I called and ask for them to provide me the {$200.00} as stipulated by regulation CC and they stated they did not have to and were not required to do so. I have a disconnection notice from my electricity provider and I worked for that money there is absolutely no reason for the entire amount to be held for so long. I have been banking with Chase for some time now and they have clearly violated a federa regulation by not placing my check on hold for no good reason.,Checking or savings account + Checking account,deposit chase account deposit payrol check busi day monday place check day deposit item account ask provid stipul regul cc state requir electr provid work money reason entir amount bank time federa regul place check reason
"I start a Loan application ( Refinance ) with two banks. One with CHASE BANK and other with XXXX XXXX Florida. Since  the start the loan application ( XXXX/XXXX/XXXX ) with Chase it was a nightmare. No answer-back, no emails answered, errors in the loan process all the way. In summary, the reason for complaints is that they cancel the loan because they could n't verify the employment verification. While the smaller bank called "" XXXX XXXX '' did n't have an issue with the employment verification. The point is that the method they used was not sufficient and did n't do their job properly. I presented all the documents required for the loan, but at the end, it was Chase bank who could n't do their job in a simple, organized matter while the smaller bank did. I just do n't understand.",Mortgage + Conventional home mortgage,start loan applic refin bank chase bank florida start loan applic chase nightmar answer-back email answer error loan process way summari reason complaint cancel loan verif bank call  verif point method use job document requir loan end bank job matter bank
"I purchased my home XX/XX/2018 with my first payment being due XX/XX/2018. They sold my load to XXXX XXXX who is using JP Morgan Chase as the servicer of the loan. I called immediately when I got their letter to advise that I wanted to pay my mortgage every two weeks so I could save on interest. I was advised they had a new program that would accomplish that but it wouldn't be ready until XX/XX/XXXX and to call back. 

I called back a couple days before XX/XX/XXXX to see if their program was ready and when I was speaking with the rep I told her I wanted to pay every two weeks to reduce the principle on my loan to save interest and she said as long as I paid the full amount before the XXXX of the month, the payment would be considered on time and I would accomplish what I wanted. 

After making the first months payment, half on XX/XX/XXXX and half on XX/XX/XXXX, I logged in to check to be sure all was applied as expected and found out they didn't apply my first half payment on XX/XX/XXXX until the second half was paid on XX/XX/XXXX. I called to discuss this with them and was advised that if I signed up for their automatic bi-weekly payment program, that I would accomplish what I wanted which led me to believe that my payments every two weeks would be applied when paid. Because I had to pay for XXXX   by paying 1/2 on XX/XX/XXXX and 1/2 on XX/XX/XXXX, I had to make a full payment for XX/XX/XXXX before XX/XX/XXXX so I paid my full payment on XX/XX/XXXX. 

When they took out the first automatic payment on XX/XX/XXXX, I logged in to make sure this time that it had applied as expected, I found that they didn't apply my payment so once again, I called. That was when I found out that they won't apply the payment until the second one is received which was totally misleading to me because I made it clear numerous times that my issue with paying twice before the XXXX of each month was that they didn't apply the first half when received and was given the impression that this automatic program would accomplish this. 

As it is, all this program does is take my money and it sits there, NOT saving me any interest on their end because it's not applied to anything and NOT earning any interest on my end because it's not in my savings account anymore. At the end of the day, JP Morgan Chase associates do not know how to advise consumers about how the program works, they don't listen to the consumer because I was very clear in what my expectation was and I lost the interest I could have earned on the money they took and did nothing with. 

Their program is flawed and I believe there are more consumers out there who haven't taken the time to make sure their payments are being applied as expected and who would be upset if they found this out. This program was new in XX/XX/XXXX so there may not be a lot of victims at this time which makes it a perfect time to register a complaint in hopes that they can rectify the issue before it gets worse. When I registered a complaint with JP Morgan Chase today, XX/XX/XXXX, they didn't understand what I was saying, how it didn't benefit me in the way I had expected and was told so I don't feel like they plan to do anything to make their program better or at minimum accurately infor their consumers. 

I feel that consumers need to be advised to check their mortgage payments online to ensure the servicers of their loans are processing the payments correctly. If I hadn't checked every time I made a payment and just assumed they were applying it to my loan in the way I expected them to, I may have continued on this program and continued to lose money on interest by giving my money to them to do nothing with when it could have been in my savings account earning interest. 

I can save more on interest by paying an extra {$130.00} per month on the first of each month reducing my prinicple every month vs letting them take half the payment bi-weekly thereby reducing my principle only twice a year. And, I'm earning interest while the money is in my savings vs in their bank earning nothing because I'm not paying it ahead of time but instead, when it's due.",Mortgage + Conventional home mortgage,purchas home payment load use jp servic loan letter advis pay week interest program call day program readi speak pay everi week loan interest amount month payment time want month payment half half  log check appli payment half sign payment program want payment everi week pay  payment  payment  payment  time appli payment call found payment receiv mislead time pay month half program program money sit interest end anyth interest end account anymor end day jp associ program work interest money program flaw believ time payment appli program time time complaint hope rectifi issu get regist complaint jp chase today way plan program accur consum need payment onlin loan process payment correct time payment assum appli loan way program continu money interest money account interest interest pay month month reduc prinicpl month payment therebi reduc principl year interest money bank pay time
"Hello The problem is that vendor sent me return info, after Visa discussed it with them, and then they sent me two different addresses { copy provided in docs }, i was not able to figure out which address to use, so I sent them an email so that they could tell me which place was the appropriate address. 

I have included all the documents that I thinks reflects that I have earnestly tried to find out what address I should send this product back too, a clarification on their part could have easily resolved this matter, by updating a correct address. It is hard for me to guess where I should send the product too All docs have been provided to Visa, I also sent a letter recently to the Maryland Attorney General Consumer Affairs, and they have advised me to contact you folks. Copy of letter provided below. 

In Conclusion, we believe that Chase did not follow up with us nor take our problem serious, in order to see that we have tried to follow up for months on end, and get nothing about a run around from the Vendor and then even from Chase themselves, it was like our documented case was nothing of value to them, but we work hard to get the money to have purchased this item, which we had properly asked to return. 

thanks from XXXX XXXX and XXXX XXXX XXXX XXXX XXXX XXXX XXXX, MD XXXX",Credit card or prepaid card + General-purpose credit card or charge card,hello problem vendor return info discuss differ address copi provid doc figur address use email place appropri address document find product part matter correct address guess product doc provid visa letter maryland attorney consum affair contact folk letter provid conclus chase problem order month end document case valu money purchas item ask return md 
"I am writing in reference to a dispute with Chase Auto-finance on my credit report for a "" missed payment ''. Enclosed you will find supporting documents for my dispute regarding my missed payment according to Chase. Chase alleges that my payment was late in for XXXX, but per the attached supporting documents of Chase statements dating XX/XX/18 to present, the XXXX statement shows no payment due for XXXX ( XX/XX/18 ) and an XXXX payment of {$410.00} for XXXX ( XX/XX/18 ). Thus I did not make a payment for XXXX XX/XX/18 and attempted to make a payment in XXXX several times. 
In attempts to make my payments, Chase customer service was unable to process payments due to an error on their part regarding the account number for my financial institution. I attempted to reconcile the account and pay what was owed but due to their error on their part the payment was reversed several times : XXXX-18 PAYMENT - BASE RENT XXXX ; TAX XXXX {$410.00} XXXX-18 REVERSED PAYMENT {$410.00} XXXX REVERSED PAYMENT {$410.00} XXXX-18 PAYMENT - BASE RENT XXXX ; TAX XXXX {$410.00} XXXX-18 PAYMENT - BASE RENT XXXX ; TAX XXXX {$410.00} XXXX-18 REVERSED PAYMENT {$410.00} XXXX-18 PAYMENT - BASE RENT XXXX ; TAX XXXX {$410.00} XXXX-18 REVERSED PAYMENT {$410.00} XXXX-18 PAYMENT - BASE RENT XXXX ; TAX XXXX {$410.00} XXXX-18 WAIVED LATE CHARGE {$20.00} XXXX-18 REVERSED PAYMENT {$410.00} XXXX-18 PAYMENT - BASE RENT XXXX ; TAX XXXX {$410.00} XXXX-18 PAYMENT - BASE RENT XXXX ; TAX XXXX {$410.00} XXXX18 PAYMENT - BASE RENT XXXX ; TAX XXXX {$410.00} XXXX-18 PAYMENT - BASE RENT XXXX ; TAX XXXX {$410.00}",Vehicle loan or lease + Lease,refer disput credit report payment support document disput regard payment accord chase chase payment  attach support document chase statement date present statement show payment payment payment  attempt payment  sever time payment custom process payment error part regard account number institut attempt reconcil account pay error part payment time payment base rent tax payment  payment payment base rent tax payment base rent tax payment payment base rent tax payment payment base rent tax waiv charg payment payment base rent tax payment base rent tax payment base rent tax payment base rent tax
"On XXXX XXXX, I contacted Chase XXXX XXXX customer service regarding the calculation of my minimum payment due. On XX/XX/2019, I transferred a balance of {$8500.00}. It was a XXXX percent balance transfer offer. I researched the minimum payment due calculation and per the cardmember agreement, the minimum payment is calculated at 1 % of the new balance, plus interest charges and fees ; therefore, I transferred this balance based on this information. I received my XX/XX/2019 statement. The balance was {$11000.00} and the minimum payment was {$560.00}. The minimum payment is definitely larger than the 1 % of the new balance plus interest and fees per my cardmember agreement. I tried to figure out how this calculation was made and I couldn't figure it out. I let it go for the month, figuring I was being charged the 1 % of the new balance, plus interest and fees ( the fees being the balance transfer fee of 4 % of {$8500.00}. I paid {$580.00} on XX/XX/2019. I thought from here on out, my minimum monthly payment should be approximately {$110.00} per month. I received my XX/XX/2019 statement. The balance is {$11000.00} and the minimum payment is {$560.00}. On XX/XX/2019, I contacted Chase XXXX XXXX customer service regarding the minimum payment calculation. I first spoke with XXXX. She stated that my minimum payment is being charged at 5 % plus interest and any fees. I told her that it should be 1 % and she told me that my cardmember agreement stated 5 %. I hung up and researched the cardmember agreement. I found it online and have saved it to my files. This agreement should not be any different than the one that I should be receiving in 10 days. Per the agreement found online, it is indeed, 1 % of new balance plus interest and fees. I called customer service back and spoke with XXXX, but was transferred to another person due to computer issues. I do not have this person 's name, as I could not understand her name. I explained to her that the cardmember agreement that is online states the 1 % of new balance plus interest and fees. She could not change it to the appropriate calculation per the agreement and said I would have to fax my agreement and jump through hoops. I told her that this was in violation of my agreement and that I would be contacting the CFPB.",Credit card or prepaid card + General-purpose credit card or charge card,  chase custom regard calcul payment 2019 balanc percent balanc transfer offer research payment calcul cardmemb agreement payment % balanc interest charg fee balanc base inform statement balanc payment payment definit % balanc interest fee cardmemb agreement tri figur calcul month % balanc interest fee balanc transfer fee % thought month payment approxim month statement balanc payment chase custom payment calcul state payment % interest fee % agreement state % hung research cardmemb agreement file agreement receiv day agreement inde % balanc interest fee custom servic person comput issu person name name agreement onlin state % balanc interest fee calcul agreement agreement jump hoop agreement cfpb
"I bought concert tickets for {$360.00} using chase quick pay and XXXX, it was a scam but neither Chase or XXXX will give me any refund or do anything about it to prevent this person from continuing to do this.","Money transfer, virtual currency, or money service + Domestic (US) money transfer",concert ticket use pay  chase refund anyth prevent person continu
"I opened a Chase Sapphire Reserve card at the end of last year. This month, Chase chose to close my card. This is within their rights, however they refused to pro-rate my yearly fee ( {$520.00} ) according to the months I that actually used the card. When I inquired for further clarification of their stance they again refused and then told me they were refusing to even discuss the matter further, even though I had additional concerns to discuss. 

Nothing in my cardholder agreement authorizes them to charge me for these services under a closed account, nor does this action hold up under general contract law.",Credit card or prepaid card + General-purpose credit card or charge card,chase sapphir end year month chase card refus year fee month use card clarif stanc refus matter addit concern discuss agreement author charg account action contract law
"I applied for the Chase XXXX premier rewards XXXX XXXX Mastercard around XX/XX/2018. After talking to a lending specialist on the phone the day after, and getting fully verified ( due to a fraud alert that is on my credit report ), I was approved for this card with a {$12000.00} credit limit. Everything was good, until I notice my card got declined when I was making a {$3.00} coffee purchase on XX/XX/2018. I immediately logged into my account, and notice that this account was stated as closed. After contacting the phone number on the back of my card, inquiring about what is going on with this card, they told me that they have no idea why the account has been closed ( no notes on the account ), however, the account was closed on XX/XX/2018 ( one day after the {$89.00} annual fee was posted ), a letter has been sent out, and a phone number I could call : XXXX ext. XXXX. 
There is a credit card agreement between JPMorgan Chase and the card holder. I have not violated any of the terms in that agreement. My credit standing/score is still as good as the time I applied for the card, with no sudden negative change, that might be deemed risky on Chase 's side. At this point what has happened is not credit-related ( therefore, violation of the fair credit reporting act ), and a case of discrimination. If chase did not want to do business with me ( I am a chase private client by the way ), they should have just declined my application with no credit pull stating exactly that fact as their reason. Doing this was well within their rights as a business, and I would have understood. However, if they have let me apply for a card, done a XXXX hard pull, approved me based on my credit, and then, all of a sudden, out of nowhere, my account has been closed by a secret department in Arizona for reasons that are unrelated to my credit, is ludicrous beyond belief, and a case of discrimination ... As a chase private client, I am really disappointed in how chase is conducting its business, and would like to request my credit card account to be reinstated immediately.",Credit card or prepaid card + General-purpose credit card or charge card,chase mastercard specialist phone day verifi fraud credit report card credit limit card coffe 2018 log account account state contact phone number card inquir card idea account account day fee post letter phone number  ext  credit card agreement card holder term agreement credit standing/scor time card negat chang chase side point credit-rel credit report act case discrimin chase busi privat client way credit pull state fact reason busi howev card pull base credit depart reason credit belief case discrimin chase client disappoint chase conduct busi credit card account immedi
I have a recurring payment from my Chase checking account to a XXXX XXXX credit card bill. My recurring payment is scheduled to be delivered by the XXXX of every month. It takes 5 days for delivery. Chase sent the check on XX/XX/XXXX so it was late to XXXX XXXX. I was charged a {$26.00} late fee by XXXX XXXX. Chase is saying that I scheduled the send by date of XX/XX/XXXX. First off I always send to a deliver by date. Also this is a recurring payment so you can easily see that Chase made a mistake. They sent it on XX/XX/XXXX to be delivered by XX/XX/XXXX. And this makes no sense because there is a 5 day delivery time.,Checking or savings account + Checking account,payment chase check account credit card bill payment schedul deliv month day deliveri check   charg fee send date date payment easili see chase mistak deliv  day time
I have a had multiple accounts of money being taken out of my account from a place called hidden listings. I have reported it to chase bank and nothing has been done and now they have taken over XXXX dollars out of my account over the last few months. I have never signed up for this service nor do I know what it is.,Checking or savings account + Checking account,multipl account money place call list bank dollar account month servic know
"At the end of XXXX XXXX I called customer service about the annual fee shown on my credit card statement. The agent said they were unable to waive the annual fee at the time but wanted me to reconsider keeping the card. The representative said that if I paid the fee but decided I wanted to close the card within 90 days, I could have my annual fee refunded and close the credit card at that time. I called again in XXXX to close the credit card since I could not use the benefits any longer. However when I was talking to the agent, they said that they would not refund the annual fee. I told them that I was instructed by the previous customer service agent that I would have 90 days to close the account and get my fee refunded. The representative was adamant that I was wrong and said there was nothing that could be done. I ended up closing my account and Chase was able to trick me into paying an annual fee for a card I do not want to keep.",Credit card or prepaid card + General-purpose credit card or charge card,end  call custom fee credit card statement agent fee time reconsid card fee decid card day fee refund credit card time credit card sinc benefit talk agent fee instruct custom agent day account get fee refund account chase pay fee card keep
"I am being sued over a credit card that i have never had, which company says was opened back in XXXX and closed in XXXX. I was hacked 3 times from XXXX. My internet company was asked 5 times over 3 yrs to change my secuirty key, XXXX XXXX never changed my security key. I had fraud on both my bank accounts in the amounts of around XXXX I have submitted an claim for XXXX and XXXX XXXX! they both were hacked! Also my XXXX card was back in XXXX of this year! almost XXXX. XXXX was hacked too! Had many fraud with that account too! Also XXXX XXXX  on XXXX  ordered a hat and soap which have which now with one of my cards of XXXX Every day is a new surprise in my email! Someone has messed with a XXXX XXXX account that I haven't used in 10 yrs! Someone opened a dept Chase Morgan account! I ll never have had any Chase Morgan account ever! My credit is frozen and has been since XXXX of XXXX My husband has been deseaced for 14 yrs, he had an ex-wife from XXXX. She and her family made our life 's misarable. She had 2 cars repoed lost there family home! But card and fake accounts in my name! She reacived XXXX child soaport and never paid for anything! She died 7 yrs ago and every one who did things with her is dead! I havent seen my step-daughter in 14 yrs, i gave her money to buy a car when her father died, Guess what? she blue the money with her mother, they all got tattoes! This identy-theft has been a Nightmare! Please help me, I ve been trying tofix my credit. My Computor has been scrub twice. I just bought it in XXXX of XXXX! Thank You! 
my daughter 's lab top has no spell ck, sorry! lol!",Debt collection + Credit card debt,su credit card time  internet compani time yrs chang secuirti key key fraud bank account amount submit claim  hack card year hack mani fraud account order card  day email someon mess yrs someon dept chase account morgan account credit sinc husband deseac yrs  famili life misar car repo home account name reaciv child soaport anyth die yrs thing havent yrs money buy car father die guess money mother nightmar tofix credit computor scrub  thank daughter lab top spell ck sorri lol
Co sign for auto Loan was not aware loan not already approve XXXX XXXX allow over 10 company to run my credit which result in Hard inquiry on my credit Bureau I did not authorize Liberty XXXX to allow inquiry,Debt collection + Auto debt,co auto loan awar loan alreadi approv credit result inquiri credit bureau author liberti inquiri
On XX/XX/2020 there was an Unrecognized Withdrawal for {$11.00} that Chase has Not credited and why Chase closed account. There is also a {$110.00} credit from XXXX along with {$3.00} monthly credits from XXXX that I have not received along with disputes I previously put through 1 year ago that Chase does nothing about.,Checking or savings account + Checking account,2020 credit chase account credit month credit receiv year
"A credit card application was completed by a bank officer in XX/XX/2017. The application was for a Business Credit Card. The business owner was unable to qualify for this card and asked me to co-sign for a "" loan '' ( not a credit card ). I provided my personal information to the bank officer at a meeting with him and the business owner. I assumed this was to check my credit. I was never informed that my information was being used to establish a Business Credit Card with me as Primary Card Holder despite my not being an employee or owner of this company ( which is required to be a Primary Card Holder ). I was not provided any documentation explaining the card agreement, the credit limit or my liability if the business could not pay the card charges.",Credit card or prepaid card + General-purpose credit card or charge card,credit card complet bank busi credit card busi owner loan credit card person bank meet busi owner check credit inform use busi credit card holder despit employe owner compani holder document agreement credit limit liabil busi card charg
"I was involved in a military scam. The scammers were supposed to be paying back money that I would d o cash advance  and put in an "" agent account ''. The payments were being pulled back. I was unaware. I would co ntact Chase to see if eligible for cash advance. The sa id yes on each occasion. I had calls from their security department several times. I called back they asked if I made a purchase, I said yes. No one on all if these occasions told me payment being pulled back. They finally sent letters saying could n't reach by phone and I had spoken numerous times. I contacted once I realized that I was involved in scam. Payments made by scammer and account was supposed to be closed and no further transactions made. This w as  XXX   -17 final  payment made in  XXXX  -17. I a gain called  XXXX -17 to inform Chase that scammer had account in there bank name  XXXX   XXXX  and provided account #. I wanted to give them scammers then security person did n't even want to deal with me or take information. On  XXXX  -17  the scammers pulled back all the payments after account was supposed to be closed and secure.. I call  XXXX  -17. T hey wo n't listen or try to help. The {$24000.00} increased to {$31000.00}. If they had told me on any of the numerous phone conversation that I had previously that payments being pulled back, I would have realized scam earlier and would n't have been out if control. I called again  XXXX  -17 I di scussed complete situation and asked why they did n't protect my account like they were supposed to, they just filled complaint and said go to small claims court. The scammers is in California.. they accepted no responsibility for not taking me seriously when I contacted before. They had their money. I had called  XXXX  because I had informed them same thing. They assured me that wo n't happen to have payment pulled back because I had Informed of fraud, just like I did for Chase,. They locked account down and forward to their headquarters. Why was Chase so negligent with my account. I realized that I made mistake and tried to rectify with them before they lost money again.. They failed to take proper action after I kept informing them of scam to protect them and me and that scammer using their bank to scam people. They basically blew me off..where are you to get help if you contact the bank where there is problem and they do absolutely nothing. This is wrong especially when I talked to an employee on  XXXX  -17 an d I was basically told account was safe now that paid and closed down. Please help this is happening to many people. When I made deposit in "" agent '' for scammers Account the teller said alot of people are depositing alot if money into this account. I have repeatedly tried to tell them this and they do n't do anything.",Credit card or prepaid card + General-purpose credit card or charge card,involv militari scam suppos pay money cash advanc agent account payment pull unawar chase cash advanc depart sever time ask purchas occas payment pull sent letter say phone time involv scam payment account transact payment gain call inform chase scammer account bank name provid account scammer person deal inform scammer pull payment account .. call hey help numer phone payment pull scam di scuss complet situat account suppos complaint claim court scammer california contact money thing assur payment pull inform fraud chase lock account headquart account realiz tri rectifi money .. action inform scam scammer use bank scam peopl blew help bank problem talk employe account mani peopl deposit account teller alot peopl deposit alot money account repeat tri
"I opened my Chase account XX/XX/2017, I have been making the payment on time since 2017. Last year, I had a minor XXXX and I was unemployed for six months, it kept me so behind on my bills since I didn't have a job. I explained this situation to many chase reps and asked them to help me with my financial crisis. I also asked them to waive the late fees and also reduce the interest charges because it's too hard to pay off with my situation. They refused to waive the late fees which is {$37.00} and also refused to waive the interest charges. Now, my balance is {$9100.00} and I started my card with {$8300.00} limit. My minimum payment is {$1800.00} and it keeps showing on my credit report as a delinquent account. I spoke with many people and they all are helpless. They do not help at all on the other hand, XXXX XXXX really helped me out when I was in a same situation. 

I can not pay such a high amount because I don't make much and I am also an XXXX XXXX so it's super hard to pay off the whole balance.",Credit card or prepaid card + General-purpose credit card or charge card,chase account payment time year unemploy month bill job mani chase rep ask help crisi waiv fee interest charg pay situat fee interest charg card limit payment show credit report delinqu account peopl helpless help hand realli help amount pay balanc
